LineId,Time,Component,Content,EventId,EventTemplate,ParameterList
1,2022-10-23T05:42:51.2831918Z,ABB.Ability.IoTEdge.EdgeAgent.Services.CommonDiagnosticCheckService[0],"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"":""Pass""}",f6acc8b0,"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"" ""Pass""}",[]
2,2022-10-23T05:42:51.2837033Z,ABB.Ability.IoTEdge.EdgeAgent.Services.DockerSwarmModuleService[0],Common Diagnostic Check is passed.,73b979dd,Common Diagnostic Check is passed.,[]
3,2022-10-23T05:42:51.4186568Z,ABB.Ability.IoTEdge.EdgeAgent.Services.ApplyPersistConfiguration[0],"Edge Config Model Persist data:BatchEntries=>500 BatchDuration=>1000 BatchTypes=>timeSeries,alarm,event MaxDeviceMessageSize=>256 TelemetrySkipValidation=>False TelemetryCompression=>deflate ContentEncoding=>deflate ConnectivityMode=>connected LogLevel=>info",98905022,Edge Config Model Persist data BatchEntries >500 BatchDuration >1000 BatchTypes >timeSeries alarm event MaxDeviceMessageSize >256 TelemetrySkipValidation >False TelemetryCompression >deflate ContentEncoding >deflate ConnectivityMode >connected LogLevel >info,[]
4,2022-10-23T05:42:51.5417265Z,ABB.Ability.IoTEdge.EdgeAgent.Services.IFileSystemManager[0],Upsert bootstrap-agent : abbiapcpdev.azurecr.io/edge-proxy-enhanced:1.217.2.24891 to file at /var/ability/modules/imagesInUse.json,f251650c,Upsert bootstrap-agent abbiapcpdev.azurecr.io/edge-proxy-enhanced 1.217.2.24891 to file at /var/ability/modules/imagesInUse.json,[]
5,2022-10-23T05:42:51.5578102Z,ABB.Ability.IoTEdge.EdgeAgent.Behaviors.Provision[0],Pending to create Edge with correlation ID 928542f4-a490-4005-bd42-8472b0affe62.,506d23f9,Pending to create Edge with correlation ID 928542f4-a490-4005-bd42-8472b0affe62.,[]
6,2022-10-23T05:42:52.1747508Z,ABB.Ability.IoTEdge.EdgeAgent.Services.CommonDiagnosticCheckService[0],"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"":""Pass""}",f6acc8b0,"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"" ""Pass""}",[]
7,2022-10-23T05:42:52.1748480Z,ABB.Ability.IoTEdge.EdgeAgent.Services.DockerSwarmModuleService[0],Common Diagnostic Check is passed.,73b979dd,Common Diagnostic Check is passed.,[]
8,2022-10-23T05:42:52.9308742Z,ABB.Ability.IoTEdge.EdgeAgent.Services.CommonDiagnosticCheckService[0],"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"":""Pass""}",f6acc8b0,"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"" ""Pass""}",[]
9,2022-10-23T05:42:52.9309528Z,ABB.Ability.IoTEdge.EdgeAgent.Services.DockerSwarmModuleService[0],Common Diagnostic Check is passed.,73b979dd,Common Diagnostic Check is passed.,[]
10,2022-10-23T05:42:52.9313737Z,ABB.Ability.IoTEdge.Common.Abstractions.Behaviors.KeepProtocolOpen[0],Connection is established.,954da85d,Connection is established.,[]
