EventId,EventTemplate,Occurrences
95285510,"Provider status providerId ""9a8d4aff-ef12-43a7-b966-4a6c9bd60bcd"" name ""Simulator"" online <*> [ABB.IA.CSConnect.Service.DCSService]",9
dd05c3b7,"UpdateInventory sourceId <*> systemId 2b2fe970-2d6c-40a5-87ac-10d858ba41e4 model <*> objectId <*> type <*> version 1 hash ""1"" [ABB.IA.CSConnect.Service.ModelService]",50
cf80a882,Update model name <*> type <*> sourceId <*> systemId 2b2fe970-2d6c-40a5-87ac-10d858ba41e4 objectId <*> model <*> correlationId <*> [ABB.IA.CSConnect.Service.ModelService],50
c8c6ecac,"Model NOT in Inventory <*> <*> name <*> sourceId <*> systemId 2b2fe970-2d6c-40a5-87ac-10d858ba41e4 objectId <*> model ""abb.controlSystem.device"" type <*> storedType null [ABB.IA.CSConnect.Service.ModelService]",31
9db53163,"Update reference targetSourceId <*> targetSystemId 2b2fe970-2d6c-40a5-87ac-10d858ba41e4 targetModel ""abb.controlSystem.structure.functional"" sourceSourceId <*> sourceSystemId 2b2fe970-2d6c-40a5-87ac-10d858ba41e4 sourceModel ""abb.controlSystem.structure.functional"" reference ""children"" targetObjectId <*> sourceObjectId <*> correlationId <*> [ABB.IA.CSConnect.Service.ModelService]",24
be586d70,"Deploy finished providerId ""9a8d4aff-ef12-43a7-b966-4a6c9bd60bcd"" deployId <*> status <*> receivedModels 50 receivedReferences <*> receivedTypes 6 publishedTypes 6 skippedTypes 0 publishedModels <*> skippedModels 0 publishedReferences <*> skippedReferences 0 deletedModels 0 failedTypes 0 failedModels <*> failedDeletedModels 0 failedReferences 0 [ABB.IA.CSConnect.Service.ModelService]",2
b2a78d4d,"ValidateModels ""Required origin data not included"" errorCode InvalidModelPayload model {""model"" ""abb.controlSystem.device"" ""type"" <*> ""name"" <*> ""description"" <*> <*> ""properties"" {""origin"" {""sourceId"" {""value"" <*> ""systemId"" {""value"" ""00000000-0000-0000-0000-000000000000""}} ""hash"" {""value"" ""1""}} ""variables"" {""aspects"" {""functionblock"" {""out"" {""min"" <*> ""max"" <*> [ABB.IA.CSConnect.Service.ModelService]",9
08acc5c8,"ValidateModels ""Required origin data not included"" errorCode InvalidModelPayload model {""model"" ""abb.controlSystem.device"" ""type"" ""abb.controlSystem.simulator.transmitter.00000000000000000000000000000000@1"" ""name"" <*> ""description"" <*> transmitter"" ""properties"" {""origin"" {""sourceId"" {""value"" <*> ""systemId"" {""value"" ""00000000-0000-0000-0000-000000000000""}} ""hash"" {""value"" ""1""}} ""variables"" {""aspects"" {""functionblock"" {""out"" {""min"" <*> ""max"" <*> ""unit"" <*> [ABB.IA.CSConnect.Service.ModelService]",9
f63fd477,Connected connectResult MqttClientConnectResult {ResultCode Success IsSessionPresent False WildcardSubscriptionAvailable True RetainAvailable True AssignedClientIdentifier null AuthenticationMethod null AuthenticationData null MaximumPacketSize null ReasonString null ReceiveMaximum null MaximumQoS AtMostOnce ResponseInformation null TopicAliasMaximum 0 ServerReference null ServerKeepAlive 0 SessionExpiryInterval null SubscriptionIdentifiersAvailable False SharedSubscriptionAvailable False UserProperties null} [ABB.IA.CSConnect.Service.DCSMessageQueue],1
4d003261,Connected <*> connectResult MqttClientConnectResult {ResultCode Success IsSessionPresent False WildcardSubscriptionAvailable True RetainAvailable True AssignedClientIdentifier null AuthenticationMethod null AuthenticationData null MaximumPacketSize null ReasonString null ReceiveMaximum null MaximumQoS AtMostOnce ResponseInformation null TopicAliasMaximum 0 ServerReference null ServerKeepAlive 0 SessionExpiryInterval null SubscriptionIdentifiersAvailable False SharedSubscriptionAvailable False UserProperties null} [ABB.IA.Edge.Ability.Module.EdgeMessageQueue],2
