LineId,Time,Component,Content,EventId,EventTemplate,ParameterList
1,2022-10-22T08:14:13.3062785Z,ABB.Ability.IoTEdge.EdgeAgent.Services.CommonDiagnosticCheckService[0],"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"":""Pass""}",f6acc8b0,"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"" ""Pass""}",[]
2,2022-10-22T08:14:13.3067658Z,ABB.Ability.IoTEdge.EdgeAgent.Services.DockerSwarmModuleService[0],Common Diagnostic Check is passed.,73b979dd,Common Diagnostic Check is passed.,[]
3,2022-10-22T08:14:13.4642850Z,ABB.Ability.IoTEdge.EdgeAgent.Services.ApplyPersistConfiguration[0],"Edge Config Model Persist data:BatchEntries=>500 BatchDuration=>1000 BatchTypes=>timeSeries,alarm,event MaxDeviceMessageSize=>256 TelemetrySkipValidation=>False TelemetryCompression=>deflate ContentEncoding=>deflate ConnectivityMode=>connected LogLevel=>info",98905022,Edge Config Model Persist data BatchEntries >500 BatchDuration >1000 BatchTypes >timeSeries alarm event MaxDeviceMessageSize >256 TelemetrySkipValidation >False TelemetryCompression >deflate ContentEncoding >deflate ConnectivityMode >connected LogLevel >info,[]
4,2022-10-22T08:14:13.6062344Z,ABB.Ability.IoTEdge.EdgeAgent.Services.IFileSystemManager[0],Upsert bootstrap-agent : abbiapcpdev.azurecr.io/edge-proxy-enhanced:1.217.2.24891 to file at /var/ability/modules/imagesInUse.json,f251650c,Upsert bootstrap-agent abbiapcpdev.azurecr.io/edge-proxy-enhanced 1.217.2.24891 to file at /var/ability/modules/imagesInUse.json,[]
5,2022-10-22T08:14:13.6193172Z,ABB.Ability.IoTEdge.EdgeAgent.Behaviors.Provision[0],Pending to create Edge with correlation ID 139510f2-2065-4091-89ff-9d6a2f191d86.,1d99ef5c,Pending to create Edge with correlation ID 139510f2-2065-4091-89ff-9d6a2f191d86.,[]
6,2022-10-22T08:14:14.1612000Z,ABB.Ability.IoTEdge.EdgeAgent.Services.CommonDiagnosticCheckService[0],"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"":""Pass""}",f6acc8b0,"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"" ""Pass""}",[]
7,2022-10-22T08:14:14.1613759Z,ABB.Ability.IoTEdge.EdgeAgent.Services.DockerSwarmModuleService[0],Common Diagnostic Check is passed.,73b979dd,Common Diagnostic Check is passed.,[]
8,2022-10-22T08:14:14.8850071Z,ABB.Ability.IoTEdge.EdgeAgent.Services.CommonDiagnosticCheckService[0],"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"":""Pass"",""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"":""Pass""}",f6acc8b0,"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"" ""Pass""}",[]
9,2022-10-22T08:14:14.8851120Z,ABB.Ability.IoTEdge.EdgeAgent.Services.DockerSwarmModuleService[0],Common Diagnostic Check is passed.,73b979dd,Common Diagnostic Check is passed.,[]
10,2022-10-22T08:14:14.8853136Z,ABB.Ability.IoTEdge.Common.Abstractions.Behaviors.KeepProtocolOpen[0],Connection is established.,954da85d,Connection is established.,[]
