EventId,EventTemplate,Occurrences
c75bff06,Configuration database revision set to 1 [ABB.IA.Edge.Router.Service.Services.ConfigurationStorage],1
3af362d3,Application started. Press Ctrl+C to shut down. [Microsoft.Hosting.Lifetime],1
634b0305,"Router Routing configuration changed ""Routing configuration \n-----------------------------------------\nDefaultRoute 'Hot'\nIsDefaultRouteAllowed 'True'\nRoute 1 Type TimeSeries TargetTopic Cloud Model abb.ability.device NameFilter * IsAllowed True\nRoute 2 Type TimeSeries TargetTopic Hot Model abb.ability.device NameFilter * IsAllowed True\n"" [ABB.IA.Edge.Router.Service.RouterService]",2
a0d5be8a,"Starting ""EdgeBrokerMessageQueue"" with the following configuration ""{\""BrokerUrl\"" \""mqtt //edge-broker 1883\"" \""ModuleId\"" \""edgerouter\"" \""PasswordFilePath\"" \""/run/secrets/edgerouter\"" \""ClientId\"" \""edgerouter\"" \""CommunicationTimeout\"" \""00 02 00\"" \""NumberOfWorkers\"" 4 \""StoragePath\"" \""/files\"" \""KeepAliveInSeconds\"" 20 \""MaxMessageSize\"" 268435456 \""ModuleObjectId\"" \""646860fa-5cc5-479f-893f-57318e136301\"" \""BatchMessageSizeThreshold\"" 131072 \""ConnectivityMode\"" 1 \""ForceShutdownTimeout\"" \""00 00 10\""}"" [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue]",1
8cd31b09,Statistics publish <*> messages <*> messageRate <*> msg/s messagesBytes <*> messagesBytesRate <*> KB/s variables <*> variableRate <*> variables/s variableBytes <*> variableBytesRate <*> KB/s alarms 0 alarmRate 0 alarms/s alarmBytes 0 alarmBytesRate 0 KB/s events 0 eventRate 0 events/s eventBytes 0 eventBytesRate 0 KB/s averageAckTime <*> ms/msg minAckTime <*> ms maxAckTime <*> ms duration 15 s [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue],4155
95564eff,Statistics subscribe messages 1 messageRate 0.067 msg/s messagesBytes <*> messagesBytesRate <*> KB/s variables <*> variableRate <*> variables/s variableBytes <*> variableBytesRate <*> KB/s alarms 0 alarmRate 0 alarms/s alarmBytes 0 alarmBytesRate 0 KB/s events 0 eventRate 0 events/s eventBytes 0 eventBytesRate 0 KB/s averageProcessTime <*> ms/msg minProcessTime <*> ms maxProcessTime <*> ms averageRoutingTime <*> ms/msg minRoutingTime <*> ms maxRoutingTime <*> ms duration 15 s [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue],1385
f98bd379,Reconnect failed. [ABB.IA.Edge.Router.Mqtt.MqttClient],1
774e3a7f,Waiting for configuration... [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue],1
4a2d4bd3,"Hosting environment ""Production"" [Microsoft.Hosting.Lifetime]",1
db74a669,"Framework Description "".NET 6.0.5"" []",1
daada832,Connected to mqtt server. [ABB.IA.Edge.Router.Mqtt.MqttClient],4
72cc6bdd,<*> MQTT client <*> [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue],6
e7595dc2,"Content root path ""/app"" [Microsoft.Hosting.Lifetime]",1
40cf4848,Broker endpoint mqtt //edge-broker 1883/ [],1
3610da4c,"Connected to tcp //""edge-broker"" 1883 [ABB.IA.Edge.Router.Mqtt.MqttClient]",4
712a6b09,An error occurred when attempting to fetch configuration from db [ABB.IA.Edge.Router.Service.Services.ConfigurationStorage],1
e26bfaf5,"Invalid configuration received. Was meant for module with id ""90f70eea-cbef-4d65-a4a1-295cf1469fa7"". [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue]",4
a9f708d9,<*> [ABB.IA.Edge.Router.Mqtt.MqttClient],6
99bcf311,EdgeBrokerMessageQueue started. [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue],1
ec2804ad,Router started. [ABB.IA.Edge.Router.Service.RouterService],1
8c7a5c06,"Starting Router ""1.21.67+d06c0bb12e"" []",1
308e554b,Starting hosted service. [ABB.IA.Edge.Router.Service.RouterService],1
4ef3be09,Starting 4 workers. [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue],1
b9b6d87c,"Configuration file not found ""/files/configuration.json"" [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue]",1
979ad8ea,"Configuration saved to database ""/files/configuration.db"" [ABB.IA.Edge.Router.Service.Services.ConfigurationStorage]",2
